==================== Evaluating with noise_std = 1.1 in Dataset 1 with random state = 6 ====================
ODS is enabled
mse 1.1954882531886288
Splitting data into training and validation set
Not whitening the data...
Set parameter TokenServer to value "license1.computecanada.ca"
Set parameter Threads to value 16
Read parameters from file gurobi.env
Set parameter MIPGap to value 0.05
Set parameter TimeLimit to value 18000
using QPBO:
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "AlmaLinux 9.3 (Shamrock Pampas Cat)")

CPU model: Intel(R) Xeon(R) CPU E5-2683 v4 @ 2.10GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 32 physical cores, 32 logical processors, using up to 16 threads

Optimize a model with 72 rows, 216 columns and 216 nonzeros
Model fingerprint: 0x215dbcee
Model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [0e+00, 0e+00]
  QObjective range [1e-03, 5e+02]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 1e+00]
Found heuristic solution: objective 1387.7999143
Presolve time: 0.06s
Presolved: 72 rows, 216 columns, 216 nonzeros
Presolved model has 7884 quadratic objective terms
Variable types: 0 continuous, 216 integer (216 binary)
Found heuristic solution: objective 5089.6993927

Root relaxation: objective 8.976267e+03, 303 iterations, 0.03 seconds (0.01 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 6318357 2804656 6662.17676   45  157 6355.98801 6970.54773  9.67%   4.8  810s
 6358135 2819865 6454.36370   47  146 6355.98801 6969.76716  9.66%   4.8  815s
 6394069 2833626 6548.13295   56  123 6355.98801 6969.08446  9.65%   4.8  820s
 6434763 2849045     cutoff   51      6355.98801 6968.25643  9.63%   4.8  825s
 6477764 2865331     cutoff   53      6355.98801 6967.40325  9.62%   4.8  830s
 6518955 2881120 6514.38246   51  130 6355.98801 6966.61014  9.61%   4.8  835s
 6559307 2897164 6626.43136   47  139 6355.98801 6965.85934  9.60%   4.8  840s
 6600627 2912500 6445.67856   45  175 6355.98801 6965.06648  9.58%   4.8  845s
 6634821 2925630 6411.95322   56  125 6355.98801 6964.44849  9.57%   4.8  850s
 6677951 2941430 6478.61240   49  154 6355.98801 6963.64933  9.56%   4.8  855s
 6718355 2956583 6393.98862   47  153 6355.98801 6962.88833  9.55%   4.8  860s
 6758122 2971497 6689.11271   50  139 6355.98801 6962.16889  9.54%   4.8  865s
 6798400 2987184 6588.36960   52  145 6355.98801 6961.41336  9.53%   4.8  870s
 6841416 3002841 6574.58853   51  139 6355.98801 6960.59175  9.51%   4.8  875s
 6875105 3016310 6616.97878   51  129 6355.98801 6959.95190  9.50%   4.8  880s
 6917729 3032843 6664.27772   50  133 6355.98801 6959.21069  9.49%   4.8  885s
 6958238 3048406 6911.69266   44  154 6355.98801 6958.52050  9.48%   4.8  890s
 6998252 3063650 6374.56671   56  125 6355.98801 6957.83317  9.47%   4.8  895s
 7039024 3079642     cutoff   54      6355.98801 6957.10909  9.46%   4.8  900s
 7077195 3092960 6425.34674   51  127 6355.98801 6956.45690  9.45%   4.8  905s
 7113662 3108002 6727.88523   52  127 6355.98801 6955.78660  9.44%   4.8  910s
 7154019 3123258     cutoff   53      6355.98801 6955.07090  9.43%   4.8  915s
 7194676 3138704 6480.89671   56  109 6355.98801 6954.39180  9.41%   4.8  920s
 7237407 3155155 6591.33563   47  143 6355.98801 6953.64316  9.40%   4.8  925s
